wavenumber_cm-1,absorbance
4000.0,0.00344
3999.0,0.00000
3998.0,0.00571
3997.0,0.00669
3996.0,0.00000
3995.0,0.00000
3994.0,0.00269
3993.0,0.00049
3992.0,0.00201
3991.0,0.00000
3990.0,0.00654
3989.0,0.00606
3988.0,0.00252
3987.0,0.00785
3986.0,0.00458
3985.0,0.00000
3984.0,0.00414
3983.0,0.00000
3982.0,0.00674
3981.0,0.00212
3980.0,0.00147
3979.0,0.00000
3978.0,0.00856
3977.0,0.00171
3976.0,0.00037
3975.0,0.00077
3974.0,0.00522
3973.0,0.00442
3972.0,0.00468
3971.0,0.00480
3970.0,0.01339
3969.0,0.00068
3968.0,0.00018
3967.0,0.00000
3966.0,0.00588
3965.0,0.00847
3964.0,0.00229
3963.0,0.00000
3962.0,0.00000
3961.0,0.00621
3960.0,0.00670
3959.0,0.00574
3958.0,0.00000
3957.0,0.00425
3956.0,0.00370
3955.0,0.00425
3954.0,0.00755
3953.0,0.00434
3952.0,0.00665
3951.0,0.00363
3950.0,0.00477
3949.0,0.00652
3948.0,0.00000
3947.0,0.00184
3946.0,0.00112
3945.0,0.00032
3944.0,0.00217
3943.0,0.01106
3942.0,0.00000
3941.0,0.00851
3940.0,0.00000
3939.0,0.00207
3938.0,0.00460
3937.0,0.00676
3936.0,0.00742
3935.0,0.00787
3934.0,0.00220
3933.0,0.00168
3932.0,0.00832
3931.0,0.00312
3930.0,0.00000
3929.0,0.00000
3928.0,0.00000
3927.0,0.00674
3926.0,0.00501
3925.0,0.00779
3924.0,0.00225
3923.0,0.00522
3922.0,0.00761
3921.0,0.00298
3920.0,0.00686
3919.0,0.00131
3918.0,0.00285
3917.0,0.00281
3916.0,0.00000
3915.0,0.00725
3914.0,0.00252
3913.0,0.00498
3912.0,0.00737
3911.0,0.00725
3910.0,0.00840
3909.0,0.00463
3908.0,0.00306
3907.0,0.00483
3906.0,0.00000
3905.0,0.00000
3904.0,0.00000
3903.0,0.00046
3902.0,0.00750
3901.0,0.00103
3900.0,0.00373
3899.0,0.01217
3898.0,0.00395
3897.0,0.00948
3896.0,0.00118
3895.0,0.00488
3894.0,0.00122
3893.0,0.00434
3892.0,0.01029
3891.0,0.00000
3890.0,0.00839
3889.0,0.00747
3888.0,0.00337
3887.0,0.00000
3886.0,0.00683
3885.0,0.00389
3884.0,0.00777
3883.0,0.00678
3882.0,0.01475
3881.0,0.00561
3880.0,0.00175
3879.0,0.00784
3878.0,0.00811
3877.0,0.01388
3876.0,0.01133
3875.0,0.00901
3874.0,0.01461
3873.0,0.00142
3872.0,0.00424
3871.0,0.00288
3870.0,0.00564
3869.0,0.00078
3868.0,0.01091
3867.0,0.00670
3866.0,0.00054
3865.0,0.00289
3864.0,0.00961
3863.0,0.01232
3862.0,0.01819
3861.0,0.02286
3860.0,0.01044
3859.0,0.00350
3858.0,0.00000
3857.0,0.00995
3856.0,0.00463
3855.0,0.00671
3854.0,0.00581
3853.0,0.00825
3852.0,0.01437
3851.0,0.00991
3850.0,0.00842
3849.0,0.00413
3848.0,0.00102
3847.0,0.00706
3846.0,0.00931
3845.0,0.01851
3844.0,0.01041
3843.0,0.01477
3842.0,0.00746
3841.0,0.00412
3840.0,0.00532
3839.0,0.00661
3838.0,0.02098
3837.0,0.00633
3836.0,0.01473
3835.0,0.00612
3834.0,0.01539
3833.0,0.01276
3832.0,0.01016
3831.0,0.01084
3830.0,0.00787
3829.0,0.01348
3828.0,0.00908
3827.0,0.00534
3826.0,0.00518
3825.0,0.01255
3824.0,0.01969
3823.0,0.01270
3822.0,0.01142
3821.0,0.01356
3820.0,0.01877
3819.0,0.01345
3818.0,0.01041
3817.0,0.01812
3816.0,0.01485
3815.0,0.02050
3814.0,0.01385
3813.0,0.00694
3812.0,0.00634
3811.0,0.02155
3810.0,0.02204
3809.0,0.01265
3808.0,0.01175
3807.0,0.02110
3806.0,0.00839
3805.0,0.00958
3804.0,0.01739
3803.0,0.01233
3802.0,0.01441
3801.0,0.01375
3800.0,0.01639
3799.0,0.02187
3798.0,0.01542
3797.0,0.01833
3796.0,0.00499
3795.0,0.01514
3794.0,0.01130
3793.0,0.00957
3792.0,0.01141
3791.0,0.01427
3790.0,0.02067
3789.0,0.00960
3788.0,0.01653
3787.0,0.01410
3786.0,0.01503
3785.0,0.02183
3784.0,0.01966
3783.0,0.02381
3782.0,0.01650
3781.0,0.01395
3780.0,0.01646
3779.0,0.01895
3778.0,0.01878
3777.0,0.01263
3776.0,0.01866
3775.0,0.01951
3774.0,0.03112
3773.0,0.02808
3772.0,0.01460
3771.0,0.01759
3770.0,0.01188
3769.0,0.01641
3768.0,0.02111
3767.0,0.02573
3766.0,0.01623
3765.0,0.01677
3764.0,0.00948
3763.0,0.01958
3762.0,0.01526
3761.0,0.01810
3760.0,0.01655
3759.0,0.02064
3758.0,0.01250
3757.0,0.01414
3756.0,0.03231
3755.0,0.01541
3754.0,0.01655
3753.0,0.03141
3752.0,0.03694
3751.0,0.01675
3750.0,0.02096
3749.0,0.02470
3748.0,0.03183
3747.0,0.01845
