wavenumber_cm-1,absorbance
4000.0,0.00001
3999.0,0.00149
3998.0,0.00000
3997.0,0.00000
3996.0,0.00000
3995.0,0.00000
3994.0,0.00030
3993.0,0.00670
3992.0,0.00000
3991.0,0.00000
3990.0,0.00245
3989.0,0.00178
3988.0,0.00053
3987.0,0.00000
3986.0,0.00000
3985.0,0.00348
3984.0,0.00000
3983.0,0.00000
3982.0,0.00000
3981.0,0.00000
3980.0,0.00000
3979.0,0.00000
3978.0,0.00000
3977.0,0.00136
3976.0,0.00078
3975.0,0.00000
3974.0,0.00000
3973.0,0.00000
3972.0,0.00000
3971.0,0.00057
3970.0,0.00000
3969.0,0.00000
3968.0,0.00000
3967.0,0.00000
3966.0,0.00530
3965.0,0.00000
3964.0,0.00000
3963.0,0.00442
3962.0,0.00000
3961.0,0.00000
3960.0,0.00055
3959.0,0.00032
3958.0,0.00000
3957.0,0.00038
3956.0,0.00679
3955.0,0.00000
3954.0,0.00430
3953.0,0.00060
3952.0,0.00000
3951.0,0.01000
3950.0,0.00381
3949.0,0.00000
3948.0,0.00037
3947.0,0.00288
3946.0,0.00000
3945.0,0.00341
3944.0,0.00000
3943.0,0.00334
3942.0,0.00719
3941.0,0.00000
3940.0,0.00102
3939.0,0.00000
3938.0,0.00064
3937.0,0.00000
3936.0,0.00000
3935.0,0.00000
3934.0,0.00449
3933.0,0.00573
3932.0,0.00000
3931.0,0.00000
3930.0,0.00323
3929.0,0.00000
3928.0,0.00000
3927.0,0.00000
3926.0,0.00629
3925.0,0.00345
3924.0,0.00000
3923.0,0.00000
3922.0,0.00000
3921.0,0.00762
3920.0,0.00000
3919.0,0.00000
3918.0,0.00176
3917.0,0.00000
3916.0,0.00000
3915.0,0.00000
3914.0,0.00000
3913.0,0.00000
3912.0,0.00583
3911.0,0.00327
3910.0,0.00000
3909.0,0.00334
3908.0,0.00000
3907.0,0.00526
3906.0,0.00000
3905.0,0.00292
3904.0,0.00000
3903.0,0.00173
3902.0,0.00000
3901.0,0.00000
3900.0,0.00000
3899.0,0.00000
3898.0,0.00082
3897.0,0.01122
3896.0,0.00000
3895.0,0.00000
3894.0,0.00103
3893.0,0.00247
3892.0,0.00000
3891.0,0.00000
3890.0,0.00351
3889.0,0.00260
3888.0,0.00000
3887.0,0.00000
3886.0,0.00018
3885.0,0.00000
3884.0,0.00130
3883.0,0.00000
3882.0,0.00486
3881.0,0.00096
3880.0,0.00045
3879.0,0.00000
3878.0,0.00000
3877.0,0.00000
3876.0,0.00000
3875.0,0.00181
3874.0,0.00000
3873.0,0.00423
3872.0,0.00000
3871.0,0.00378
3870.0,0.00000
3869.0,0.00390
3868.0,0.00065
3867.0,0.00000
3866.0,0.00625
3865.0,0.00721
3864.0,0.00000
3863.0,0.00000
3862.0,0.00000
3861.0,0.00000
3860.0,0.00549
3859.0,0.00000
3858.0,0.00000
3857.0,0.00000
3856.0,0.00000
3855.0,0.00000
3854.0,0.00629
3853.0,0.00000
3852.0,0.00483
3851.0,0.00007
3850.0,0.00000
3849.0,0.00000
3848.0,0.00000
3847.0,0.00004
3846.0,0.00000
3845.0,0.00000
3844.0,0.00000
3843.0,0.00000
3842.0,0.00827
3841.0,0.00000
3840.0,0.00000
3839.0,0.00169
3838.0,0.00704
3837.0,0.00000
3836.0,0.00000
3835.0,0.00000
3834.0,0.00000
3833.0,0.00368
3832.0,0.00000
3831.0,0.00036
3830.0,0.00000
3829.0,0.00228
3828.0,0.00000
3827.0,0.00000
3826.0,0.00000
3825.0,0.00000
3824.0,0.00668
3823.0,0.00000
3822.0,0.00146
3821.0,0.00000
3820.0,0.00000
3819.0,0.00000
3818.0,0.00315
3817.0,0.00000
3816.0,0.00000
3815.0,0.00011
3814.0,0.00589
3813.0,0.00341
3812.0,0.00192
3811.0,0.00000
3810.0,0.00000
3809.0,0.00475
3808.0,0.00484
3807.0,0.00000
3806.0,0.00271
3805.0,0.00391
3804.0,0.00416
3803.0,0.00461
3802.0,0.00000
3801.0,0.00758
3800.0,0.00000
3799.0,0.00431
3798.0,0.00248
3797.0,0.00437
3796.0,0.00940
3795.0,0.00743
3794.0,0.00000
3793.0,0.00000
3792.0,0.00409
3791.0,0.00000
3790.0,0.00000
3789.0,0.00421
3788.0,0.00000
3787.0,0.00000
3786.0,0.00131
3785.0,0.00023
3784.0,0.00000
3783.0,0.00021
3782.0,0.00000
3781.0,0.00000
3780.0,0.00000
3779.0,0.00000
3778.0,0.00000
3777.0,0.00255
3776.0,0.00000
3775.0,0.00205
3774.0,0.00000
